Cygnus (Cyg)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		6	3	0	0	0	0
*Corona Australis (CrA)		RA				Dec			mag							
																
Ara (Ara)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		6	2	0	0	0	0
β Ara	K3 Ib-II	17	25	18	-1	55	31	47.4	2.84		6					
α Ara	B2 Vne	17	31	50.52	-1	49	52	33.5	2.84		5	1				
ζ Ara	K5 III	16	58	37.23	-1	55	59	24.2	3.12		4					
γ Ara	B1 Ib	17	25	23.66	-1	56	22	39.7	3.31		1					
δ Ara	B8 V	17	31	5.98	-1	60	41	1	3.6		2					
θ Ara	B2 Ib	18	6	37.88	-1	50	5	29.2	3.65			2				
η Ara	K5 III	16	49	47.11	-1	59	2	28.7	3.77		3					
																
Triangulum Australe (TrA)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		3	2	0	0	0	0
α TrA	K2 IIb-IIIa	16	48	39.87	-1	69	1	39.5	1.91		1	2				
β TrA	F2 III	15	55	8.81	-1	63	25	47.1	2.83		2					
γ TrA	A1 V	15	18	54.69	-1	68	40	46.1	2.87		3	1				
δ TrA	G5 II	16	15	26.27	-1	63	41	8.3	3.86							
																
Lupus (Lup)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		5	4	2	0	0	0
α Lup	B1.5 III	14	41	55.77	-1	47	23	17.3	2.3			4				
β Lup	B2 III	14	58	31.95	-1	43	8	1.9	2.68			3				
γ Lup	B2 IV	15	35	8.46	-1	41	10	0.1	2.8		2		1			
δ Lup	B1.5 IV	15	21	22.34	-1	40	38	50.9	3.22			2	2			
ε Lup	B2 IV-V	15	22	40.89	-1	44	41	22.5	3.37		3					
ζ Lup	G8 III	15	12	17.2	-1	52	5	56.7	3.41		5					
η Lup	B2.5 IV	16	0	7.34	-1	38	23	47.9	3.42		1					
ι Lup	B2.5 IV	14	19	24.23	-1	46	3	29.1	3.55							
φ1 Lup	K5 III	15	21	48.44	-1	36	15	40.2	3.57			1				
κ1 Lup	B9 V	15	11	56.16	-1	48	44	15.7	3.88		4					
π Lup	B5	15	5	7.11	-1	47	3	4.3	3.91							
χ Lup	B9.5 III-IV	15	50	57.54	-1	33	37	37.6	3.97							
																
Centaurus (Cen)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		8	2	2	6	2	2
α Cen A	G2 V	14	39	40.9	-1	60	50	6.5	-0.01		1					
β Cen	B1 III	14	3	49.44	-1	60	22	22.7	0.61		2					
α Cen B	K1 V	14	39	39.39	-1	60	50	22.1	1.35							
θ Cen	K0 IIIb	14	6	41.32	-1	36	22	7.3	2.06					6		
γ Cen	A1 IV	12	41	31.2	-1	48	57	35.6	2.2		5	2				
ε Cen	B1 III	13	39	53.27	-1	53	27	58.9	2.29		3	1				
η Cen	B1 Vne	14	35	30.45	-1	42	9	27.9	2.33					2		
ζ Cen	B2.5 IV	13	55	32.43	-1	47	17	17.8	2.55		4					2
δ Cen	B2 Ivne	12	8	21.54	-1	50	43	20.7	2.58		7					
ι Cen	A2 V	13	20	36.07	-1	36	42	43.5	2.75						2	
λ Cen	B9 II	11	35	46.93	-1	63	1	11.4	3.11							
κ Cen	B2 IV	14	59	9.7	-1	42	6	14.9	3.13					1		
ν Cen	B2 IV	13	49	30.3	-1	41	41	15.6	3.41					5	1	
μ Cen	B2 IV-Ve	13	49	37.01	-1	42	28	25.3	3.47					4		1
φ Cen	B2 IV	13	58	16.28	-1	42	6	2.5	3.83					3		
τ Cen	A2 V	12	37	42.33	-1	48	32	28.6	3.85							
υ1 Cen	B2 IV-V	13	58	40.77	-1	44	48	12.7	3.87							
π Cen	B5 Vn	11	21	0.44	-1	54	29	27.7	3.9		8					
d Cen	G8 II/III	13	31	2.67	-1	39	24	26.2	3.9							
σ Cen	B3 V	12	28	2.41	-1	50	13	50.2	3.91		6		1			
ρ Cen	B3 V	12	11	39.15	-1	52	22	6.3	3.97				2			
																
Crux (Cru)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		2	2	0	0	0	0
β Cru	B0.5 III	12	47	43.32	-1	59	41	19.4	1.25			1				
α1 Cru	B0.5 IV	12	26	35.94	-1	63	5	56.6	1.4		1					
γ Cru	M4 III	12	31	9.93	-1	57	6	45.2	1.6		2					
α2 Cru	B1 V	12	26	36.5	-1	63	5	58	2.09							
δ Cru	B2 IV	12	15	8.76	-1	58	44	56	2.79			2				
ε Cru	K3 / K4 III	12	21	21.81	-1	60	24	4.9	3.59							
																
Hydra (Hya)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		11	0	0	0	0	0
Alphard, α Hya	K3 III	9	27	35.25	-1	8	39	31.3	1.99		7					
γ Hya	G8 III	13	18	55.25	-1	23	10	17.1	2.99		2					
ζ Hya	G8 III-IV	8	55	23.68	1	5	56	43.9	3.11		10					
ν Hya	K0 / K1 III	10	49	37.43	-1	16	11	38.9	3.11		4					
π Hya	K2 III	14	6	22.27	-1	26	40	55.3	3.25		1					
ε Hya	G0 III-IV	8	46	46.65	1	6	25	8.1	3.38		11					
ξ Hya	G8 III	11	33	0.26	-1	31	51	27.1	3.54		3					
λ Hya	K0 III	10	10	35.4	-1	12	21	13.8	3.61		6					
μ Hya	K4 III	10	26	5.51	-1	16	50	9.9	3.83		5					
θ Hya	B9.5 V	9	14	21.79	1	2	18	54.1	3.89		9					
ι Hya	K3 IIIvar	9	39	51.33	-1	1	8	33.6	3.9		8					
30 Mon	A0 V	8	25	39.67	-1	3	54	22.9	3.91							
																
Corvus (Crv)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		4	2	0	0	0	0
γ Crv	B8 III	12	15	48.47	-1	17	32	31.1	2.58		4	1				
β Crv	G5 II	12	34	23.23	-1	23	23	47.8	2.65		2					
δ Crv	B9.5 V	12	29	51.98	-1	16	30	54.3	2.94		3					
ε Crv	K2 III	12	10	7.53	-1	22	37	11.3	3.02		1	2				
																
Crater (Crt)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		0	0	0	0	0	0
δ Crt	K0 III	11	19	20.52	-1	14	46	44.6	3.56							
																
*Sextans (Sex)		RA				Dec			mag							
