Aries (Ari)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		3	0	0	0	0	0
υ Sco	B2 IV	17	30	45.84	-1	37	17	44.7	2.7		3					
τ Sco	B0 V	16	35	52.96	-1	28	12	57.5	2.82		11					
π Sco	B1 V + B2 V	15	58	51.12	-1	26	6	50.6	2.89			4				
σ Sco	B1 III	16	21	11.32	-1	25	35	33.9	2.9		13					
ι1 Sco	F2 Ia	17	47	35.08	-1	40	7	37.1	2.99		5					
μ1 Sco	B1.5 IV + B	16	51	52.24	-1	38	2	50.4	3		9					
G Sco	K0/K1 III	17	49	51.45	-1	37	2	36.1	3.19		1					
η Sco	F3 IV	17	12	9.18	-1	43	14	18.6	3.32		7					
μ2 Sco	B2 IV	16	52	20.15	-1	38	1	2.9	3.56							
ζ2 Sco	K4 III	16	54	35.11	-1	42	21	38.7	3.62		8					
ρ Sco	B2 IV/V	15	56	53.09	-1	29	12	50.4	3.87			5				
ω1 Sco	B1 V + B2 V	16	6	48.43	-1	20	40	8.9	3.93							
ν Sco	B2 IV	16	11	59.74	-1	19	27	38.3	4			1				
																
Sagittarius (Sgr)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		5	8	4	2	3	
ε Sgr	B9.5 III	18	24	10.35	-1	34	23	3.5	1.79		4	5				
σ Sgr	B2.5 V	18	55	15.92	-1	26	17	47.7	2.05			8	4		1	
ζ Sgr	A3 IV	19	2	36.72	-1	29	52	48.4	2.6			6			3	
δ Sgr	K3 III	18	20	59.62	-1	29	49	40.9	2.72		3	3				
λ Sgr	K1 IIIb	18	27	58.27	-1	25	25	16.5	2.82		2	1				
π Sgr	F2 II/III	19	9	45.83	-1	21	1	24.7	2.88				2			
γ2 Sgr	K0 III	18	5	48.52	-1	30	25	25.1	2.98			4				
η Sgr	M2 III	18	17	37.73	-1	36	45	40.6	3.1		5					
φ Sgr	B8.5 III	18	45	39.36	-1	26	59	26.8	3.17			2			2	
τ Sgr	K1/K2 III	19	6	56.44	-1	27	40	11.3	3.32			7				
ξ2 Sgr	G8/K0 II/III	18	57	43.78	-1	21	6	23.8	3.52					1		
ο Sgr	K0 III	19	4	40.93	-1	21	44	28.9	3.76				3	2		
μ Sgr	B2 III:	18	13	45.81	-1	21	3	31.8	3.84		1					
ρ1 Sgr	F0 III/IV	19	21	40.38	-1	17	50	50.1	3.92				1			
β1 Sgr	B9 V	19	22	38.29	-1	44	27	32.1	3.96							
α Sgr	B8 V	19	23	53.15	-1	40	36	56.3	3.96							
																
Capricornus (Cap)		RA				Dec			mag							
Star		h	m	s		deg	arcmin	arcsec	vm		0	0	0	0	0	0
δ Cap	A7 IIIm	21	47	2.29	-1	16	7	35.6	2.85							
β1 Cap	A5 :n	20	21	0.65	-1	14	46	53	3.05							
α2 Cap	G6/G8 III	20	18	3.22	-1	12	32	41.5	3.58							
γ Cap	A7 III:mp	21	40	5.34	-1	16	39	44.1	3.69							
ζ Cap	G4 Ibp	21	26	40.03	-1	22	24	41	3.77							
																
Aquarius (Aqr)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		8	0	0	0	0	0
β Aqr	G0 Ib	21	31	33.52	-1	5	34	16.2	2.9		2					
α Aqr	G2 Ib	22	5	47.03	-1	0	19	11.4	2.95		3					
δ Aqr	A3 V	22	54	39.04	-1	15	49	14.7	3.27		7					
ζ1 Aqr	F3 III-IV	22	28	49.8	-1	0	1	12.2	3.65		5					
88 Aqr	K1 III	23	9	26.76	-1	21	10	20.9	3.68		8					
λ Aqr	M2 IIIvar	22	52	36.86	-1	7	34	46.8	3.73		6					
ε Aqr	A1 V	20	47	40.53	-1	9	29	44.5	3.78		1					
γ Aqr	A0 V	22	21	39.3	-1	1	23	14.5	3.86		4					
98 Aqr	K0 III	23	22	58.3	-1	20	6	1.2	3.96							
																
Pisces (Psc)		RA				Dec			mag							
Star	SpecClass	h	m	s		deg	arcmin	arcsec	vm		0	0	0	0	0	0
η Psc	G8 III	1	31	28.99	1	15	20	45	3.62							
γ Psc	G7 III	23	17	9.49	1	3	16	56.1	3.7							
